symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak- rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-type-std,turbo
1,74,toyota,four,hatchback,fwd,front,95.7,0.262686567,0.282051282,0.558333333,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488,Low,0,1,1,0
0,77,toyota,four,wagon,fwd,front,95.7,0.426865672,0.282051282,0.941666667,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918,Low,0,1,1,0
0,81,toyota,four,wagon,4wd,front,95.7,0.426865672,0.282051282,0.941666667,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898,Low,0,1,1,0
0,91,toyota,four,wagon,4wd,front,95.7,0.426865672,0.282051282,0.941666667,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,0.376119403,0.35042735,0.433333333,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,6938,Low,0,1,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,0.376119403,0.35042735,0.416666667,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7198,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,0.376119403,0.35042735,0.433333333,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,Low,1,0,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,0.376119403,0.35042735,0.416666667,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,Low,1,0,1,0
0,91,toyota,four,sedan,fwd,front,95.7,0.376119403,0.35042735,0.433333333,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738,Low,0,1,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,0.376119403,0.35042735,0.416666667,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,0.376119403,0.35042735,0.416666667,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258,Low,0,1,1,0
1,168,toyota,two,sedan,rwd,front,94.5,0.411940299,0.316239316,0.4,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8058,Low,0,1,1,0
1,168,toyota,two,hatchback,rwd,front,94.5,0.411940299,0.316239316,0.4,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238,Low,0,1,1,0
1,168,toyota,two,sedan,rwd,front,94.5,0.411940299,0.316239316,0.4,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298,Low,0,1,1,0
1,168,toyota,two,hatchback,rwd,front,94.5,0.411940299,0.316239316,0.4,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.523880597,0.452991453,0.35,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.523880597,0.452991453,0.35,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639,Low,0,1,1,0
2,134,toyota,two,hatchback,rwd,front,98.4,0.523880597,0.452991453,0.35,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.523880597,0.452991453,0.35,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199,Low,0,1,1,0
2,134,toyota,two,hatchback,rwd,front,98.4,0.523880597,0.452991453,0.35,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549,Low,0,1,1,0
2,134,toyota,two,convertible,rwd,front,98.4,0.523880597,0.452991453,0.433333333,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.514925373,0.52991453,0.591666667,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.514925373,0.52991453,0.591666667,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698,Low,1,0,0,1
-1,65,toyota,four,hatchback,fwd,front,102.4,0.514925373,0.52991453,0.508333333,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.514925373,0.52991453,0.591666667,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898,Low,0,1,1,0
-1,65,toyota,four,hatchback,fwd,front,102.4,0.514925373,0.52991453,0.508333333,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248,Low,0,1,1,0
3,197,toyota,two,hatchback,rwd,front,102.9,0.632835821,0.632478632,0.35,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558,Medium,0,1,1,0
3,197,toyota,two,hatchback,rwd,front,102.9,0.632835821,0.632478632,0.35,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998,Medium,0,1,1,0
-1,90,toyota,four,sedan,rwd,front,104.5,0.697014925,0.52991453,0.525,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690,Medium,0,1,1,0
-1,121.7423313,toyota,four,wagon,rwd,front,104.5,0.697014925,0.52991453,0.525,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750,Medium,0,1,1,0
2,122,volkswagen,two,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7775,Low,1,0,1,0
2,122,volkswagen,two,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995,Low,1,0,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495,Low,1,0,0,1
2,94,volkswagen,four,sedan,fwd,front,97.3,0.456716418,0.444444444,0.658333333,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995,Low,0,1,1,0
3,121.7423313,volkswagen,two,convertible,fwd,front,94.5,0.271641791,0.333333333,0.65,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595,Low,0,1,1,0
3,256,volkswagen,two,hatchback,fwd,front,94.5,0.367164179,0.316239316,0.3,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980,Low,0,1,1,0
0,121.7423313,volkswagen,four,sedan,fwd,front,100.4,0.58358209,0.564102564,0.608333333,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295,Low,0,1,1,0
0,121.7423313,volkswagen,four,sedan,fwd,front,100.4,0.58358209,0.564102564,0.608333333,2579,ohc,four,97,idi,3.01,3.4,23,68,4500,33,38,13845,Low,1,0,0,1
0,121.7423313,volkswagen,four,wagon,fwd,front,100.4,0.626865672,0.564102564,0.608333333,2563,ohc,four,109,mpfi,3.19,3.4,9,88,5500,25,31,12290,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,0.711940299,0.58974359,0.7,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940,Low,0,1,1,0
-1,74,volvo,four,wagon,rwd,front,104.3,0.711940299,0.58974359,0.808333333,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,0.711940299,0.58974359,0.7,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985,Low,0,1,1,0
-1,74,volvo,four,wagon,rwd,front,104.3,0.711940299,0.58974359,0.808333333,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,0.711940299,0.58974359,0.7,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420,Medium,0,1,0,1
-1,74,volvo,four,wagon,rwd,front,104.3,0.711940299,0.58974359,0.808333333,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950,Medium,0,1,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,0.711940299,0.735042735,0.641666667,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845,Low,0,1,1,0
-1,95,volvo,four,sedan,rwd,front,109.1,0.711940299,0.726495726,0.641666667,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045,Medium,0,1,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,0.711940299,0.735042735,0.641666667,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485,Medium,0,1,1,0
-1,95,volvo,four,sedan,rwd,front,109.1,0.711940299,0.735042735,0.641666667,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470,Low,1,0,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,0.711940299,0.735042735,0.641666667,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625,Low,0,1,0,1
